# index, meta, _pos
1843,java.util.Collections$ReverseComparator2,"array([ 4.89994689, -1.50025689])"
1844,java.util.Collections$SelfComparable,"array([ 2.52878432, -1.88141169])"
1845,java.util.Collections$SetFromMap,"array([ 4.33874671, -1.94451117])"
1846,java.util.Collections$SingletonList,"array([ 4.5951871 , -1.96802665])"
1847,java.util.Collections$SingletonMap,"array([ 5.06189315, -1.95820194])"
1848,java.util.Collections$SingletonSet,"array([ 4.22785631, -2.40293629])"
1849,java.util.Collections$SingletonSet$1,"array([ 3.3867061 , -2.72550192])"
1850,java.util.Collections$SynchronizedCollection,"array([ 4.37984902, -1.89249661])"
1851,java.util.Collections$SynchronizedList,"array([ 4.40834617, -2.37051916])"
1852,java.util.Collections$SynchronizedMap,"array([ 4.61667459, -2.41257222])"
1853,java.util.Collections$SynchronizedRandomAccessList,"array([ 4.51494725, -2.05108105])"
1854,java.util.Collections$SynchronizedSet,"array([ 4.26938826, -2.20383452])"
1855,java.util.Collections$SynchronizedSortedMap,"array([ 4.70911975, -2.39638578])"
1856,java.util.Collections$SynchronizedSortedSet,"array([ 4.72875172, -1.85101782])"
1857,java.util.Collections$UnmodifiableCollection,"array([ 4.41177923, -1.99608549])"
1858,java.util.Collections$UnmodifiableCollection$1,"array([ 3.76309548, -2.00408455])"
1859,java.util.Collections$UnmodifiableList,"array([ 4.5573312, -2.3971005])"
1860,java.util.Collections$UnmodifiableList$1,"array([ 4.42913695, -1.67059899])"
1861,java.util.Collections$UnmodifiableMap,"array([ 4.97083494, -2.02304003])"
1862,java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet,"array([ 4.2247798 , -1.98872137])"
1863,java.util.Collections$UnmodifiableSet,"array([ 4.77677562, -1.71923986])"
1864,java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1,"array([ 4.03457604, -3.07146642])"
1865,java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry,"array([ 5.01715238, -1.58900964])"
1866,java.util.Collections$UnmodifiableRandomAccessList,"array([ 4.52341193, -2.13480955])"
1867,java.util.Collections$UnmodifiableSortedMap,"array([ 4.76823457, -2.33308174])"
1868,java.util.Collections$UnmodifiableSortedSet,"array([ 4.78848576, -1.8680327 ])"
1869,java.util.ConcurrentModificationException,"array([ 5.48618153, -3.98821848])"
1870,java.util.Currency$1,"array([ 3.70904818, -1.90506621])"
1871,java.util.Currency$CurrencyNameGetter,"array([ 5.65710615, -1.86444252])"
1872,java.util.spi.CurrencyNameProvider,"array([ 5.5411812 , -1.64263652])"
1873,java.util.CurrencyData,"array([ 6.34556458, -0.71447729])"
1874,java.util.Dictionary,"array([ 4.99367692, -2.34100724])"
1875,java.util.DuplicateFormatFlagsException,"array([ 5.54654623, -3.69563573])"
1876,java.util.IllegalFormatException,"array([ 6.06065506, -4.01667584])"
1877,java.util.EmptyStackException,"array([ 6.38385272, -4.05766888])"
1878,java.util.EnumMap,"array([ 4.6892606 , -2.30974013])"
1879,java.util.EnumMap$1,"array([ 5.57993617, -4.45187925])"
1880,java.util.EnumMap$EntryIterator,"array([ 4.36690715, -1.9805284 ])"
1881,java.util.EnumMap$EnumMapIterator,"array([ 3.67161317, -2.28954665])"
1882,java.util.EnumMap$EntrySet,"array([ 4.10109166, -2.39710121])"
1883,java.util.EnumMap$KeyIterator,"array([ 3.30490964, -2.46919959])"
1884,java.util.EnumMap$KeySet,"array([ 4.39734358, -1.60084011])"
1885,java.util.EnumMap$ValueIterator,"array([ 3.14039285, -2.14908275])"
1886,java.util.EnumMap$Values,"array([ 4.44728752, -1.72062442])"
1887,java.util.EnumSet,"array([ 4.62166798, -2.24540208])"
1888,java.util.EnumSet$SerializationProxy,"array([ 5.76350931, -0.96087541])"
1889,java.util.FormatFlagsConversionMismatchException,"array([ 5.78739302, -3.71305782])"
1890,java.util.Formattable,"array([ 5.20376438, -6.0204387 ])"
1891,java.util.Formatter,"array([ 5.23416664, -3.51621896])"
1892,java.util.FormattableFlags,"array([ 3.84597193, -3.94216883])"
1893,java.util.Formatter$BigDecimalLayoutForm,"array([ 5.42003137, -2.06389605])"
1894,java.util.Formatter$Conversion,"array([ 3.65655518, -3.70177114])"
1895,java.util.Formatter$DateTime,"array([ 6.64565092, -4.02365613])"
1896,java.util.Formatter$FixedString,"array([ 6.78287223, -3.05649118])"
1897,java.util.Formatter$FormatString,"array([ 7.35637293, -3.68338642])"
1898,java.util.Formatter$Flags,"array([ 6.43549527, -3.18697736])"
1899,java.util.Formatter$FormatSpecifier,"array([ 6.50566305, -3.33364808])"
1900,java.util.Formatter$FormatSpecifier$BigDecimalLayout,"array([ 6.51016313, -3.61159164])"
1901,java.util.FormatterClosedException,"array([ 6.17896719, -4.09008745])"
1902,java.util.GregorianCalendar,"array([ 4.8890761 , -2.66090882])"
1903,java.util.HashMap,"array([ 4.78904207, -2.22108684])"
1904,java.util.HashMap$1,"array([ 3.05564288, -2.45537122])"
1905,java.util.HashMap$Entry,"array([ 4.13813916, -2.53892179])"
1906,java.util.HashMap$EntryIterator,"array([ 3.44042241, -2.94338574])"
1907,java.util.HashMap$HashIterator,"array([ 3.62494261, -2.84121727])"
1908,java.util.HashMap$EntrySet,"array([ 4.2859306 , -1.76202457])"
1909,java.util.HashMap$KeyIterator,"array([ 3.23554295, -2.58888674])"
1910,java.util.HashMap$KeySet,"array([ 4.09171665, -2.17704694])"
1911,java.util.HashMap$ValueIterator,"array([ 3.22658057, -2.37890144])"
1912,java.util.HashMap$Values,"array([ 4.13249143, -2.36154957])"
1913,java.util.HashSet,"array([ 4.51893282, -1.9036166 ])"
1914,java.util.Hashtable$1,"array([ 4.63390422, -0.50272974])"
1915,java.util.Hashtable$EmptyEnumerator,"array([ 4.31561134, -0.97756632])"
1916,java.util.Hashtable$EmptyIterator,"array([ 3.83645278, -2.67716469])"
1917,java.util.Hashtable$Entry,"array([ 4.86225903, -1.60362707])"
1918,java.util.Hashtable$EntrySet,"array([ 4.04361618, -2.3053151 ])"
1919,java.util.Hashtable$Enumerator,"array([ 4.1599992 , -1.86954048])"
1920,java.util.Hashtable$KeySet,"array([ 4.56333813, -1.6199161 ])"
1921,java.util.Hashtable$ValueCollection,"array([ 4.49936278, -1.84634233])"
1922,java.util.IdentityHashMap,"array([ 4.91168251, -2.2794183 ])"
1923,java.util.IdentityHashMap$1,"array([ 6.80777889, -1.11585124])"
1924,java.util.IdentityHashMap$EntryIterator,"array([ 4.18999054, -2.27357879])"
1925,java.util.IdentityHashMap$IdentityHashMapIterator,"array([ 3.78929704, -3.10153959])"
1926,java.util.IdentityHashMap$EntrySet,"array([ 4.09514998, -2.32343658])"
1927,java.util.IdentityHashMap$KeyIterator,"array([ 3.35010831, -3.27589017])"
1928,java.util.IdentityHashMap$KeySet,"array([ 4.15471155, -1.92231786])"
1929,java.util.IdentityHashMap$ValueIterator,"array([ 3.29265992, -2.7033916 ])"
1930,java.util.IdentityHashMap$Values,"array([ 4.13864571, -2.13466197])"
1931,java.util.IllegalFormatCodePointException,"array([ 6.01411222, -4.23666615])"
1932,java.util.IllegalFormatConversionException,"array([ 6.03033136, -3.25446562])"
1933,java.util.IllegalFormatFlagsException,"array([ 6.00701547, -3.61883292])"
1934,java.util.IllegalFormatPrecisionException,"array([ 6.32384503, -3.9650797 ])"
1935,java.util.IllegalFormatWidthException,"array([ 5.97259079, -4.20206513])"
1936,java.util.InputMismatchException,"array([ 6.24411784, -3.83611479])"
1937,java.util.NoSuchElementException,"array([ 6.19121816, -3.68575941])"
1938,java.util.InvalidPropertiesFormatException,"array([ 6.10298997, -3.7330907 ])"
1939,java.util.JapaneseImperialCalendar,"array([ 4.8799373 , -2.46323749])"
1940,java.util.JumboEnumSet,"array([ 4.52633959, -2.35208699])"
1941,java.util.JumboEnumSet$EnumSetIterator,"array([ 3.85407183, -2.92911369])"
1942,java.util.LinkedHashMap$1,"array([ 5.21324317, -0.48250254])"
1943,java.util.LinkedHashMap$Entry,"array([ 4.00595274, -2.8716761 ])"
1944,java.util.LinkedHashMap$EntryIterator,"array([ 3.31500013, -2.16101636])"
1945,java.util.LinkedHashMap$LinkedHashIterator,"array([ 3.51447358, -2.45413217])"
1946,java.util.LinkedHashMap$KeyIterator,"array([ 3.17024219, -2.85181956])"
1947,java.util.LinkedHashMap$ValueIterator,"array([ 3.09760328, -1.95958404])"
1948,java.util.LinkedHashSet,"array([ 4.3334692 , -2.22278329])"
1949,java.util.LinkedList,"array([ 4.79727059, -2.39486372])"
1950,java.util.LinkedList$1,"array([ 3.57526866, -0.86148345])"
1951,java.util.LinkedList$DescendingIterator,"array([ 4.80036405, -1.4524271 ])"
1952,java.util.LinkedList$Entry,"array([ 3.97879842, -0.69192022])"
1953,java.util.LinkedList$ListItr,"array([ 4.93012441, -1.55758338])"
1954,java.util.ListResourceBundle,"array([ 5.02667884, -2.63564923])"
1955,java.util.ResourceBundle$Control,"array([ 5.02920431, -2.69007909])"
1956,java.util.Locale$LocaleNameGetter,"array([ 4.73753106, -2.2962699 ])"
1957,java.util.spi.LocaleNameProvider,"array([ 5.04184181, -2.32170565])"
1958,java.util.LocaleISOData,"array([ 5.53370278, -0.59312103])"
1959,java.util.MissingFormatArgumentException,"array([ 5.83521089, -3.78791603])"
1960,java.util.MissingFormatWidthException,"array([ 6.1414418, -3.6863711])"
1961,java.util.MissingResourceException,"array([ 6.11667542, -3.2175213 ])"
1962,java.util.NavigableMap,"array([ 4.89588914, -2.19027179])"
1963,java.util.NavigableSet,"array([ 4.83345921, -2.11287136])"
1964,java.util.Observable,"array([ 3.66664871, -1.38127954])"
1965,java.util.Observer,"array([ 2.99051   , -0.72031937])"
1966,java.util.PriorityQueue,"array([ 4.85247668, -1.89694323])"
1967,java.util.PriorityQueue$1,"array([ 4.95358483, -0.47635585])"
1968,java.util.PriorityQueue$Itr,"array([ 3.99610411, -1.77793708])"
1969,java.util.Properties$LineReader,"array([ 3.95724946, -2.96618592])"
1970,java.util.PropertyPermission,"array([ 4.3995057 , -2.60029763])"
1971,java.util.PropertyPermissionCollection,"array([ 3.73881277, -1.83600675])"
1972,java.util.PropertyResourceBundle,"array([ 5.07156813, -2.60395628])"
1973,java.util.RandomAccessSubList,"array([ 4.54329148, -2.29600953])"
1974,java.util.SubList,"array([ 4.47312381, -2.14210133])"
1975,java.util.RegularEnumSet,"array([ 4.57102524, -2.1658766 ])"
1976,java.util.RegularEnumSet$EnumSetIterator,"array([ 3.91417055, -2.2277226 ])"
1977,java.util.ResourceBundle$1,"array([ 5.08980181, -2.52557706])"
1978,java.util.ResourceBundle$BundleReference,"array([ 4.44557451, -0.41221046])"
1979,java.util.ResourceBundle$CacheKeyReference,"array([3.69958824, 0.61013617])"
1980,java.util.ResourceBundle$CacheKey,"array([ 4.19899636, -0.99068987])"
1981,java.util.ResourceBundle$Control$1,"array([ 4.65714008, -1.65614491])"
1982,java.util.ResourceBundle$LoaderReference,"array([ 4.30010521, -0.4859969 ])"
1983,java.util.ResourceBundle$NoFallbackControl,"array([ 5.07869489, -2.65611859])"
1984,java.util.ResourceBundle$SingleFormatControl,"array([ 5.06667832, -2.80887417])"
1985,java.util.ResourceBundle$RBClassLoader,"array([ 4.77088191, -2.48678081])"
1986,java.util.ResourceBundle$RBClassLoader$1,"array([ 3.94441735, -1.69639148])"
1987,java.util.Scanner,"array([ 4.72909085, -3.2558444 ])"
1988,java.util.regex.Pattern,"array([ 4.76854875, -3.26502014])"
1989,java.util.regex.MatchResult,"array([ 4.70227142, -4.82818054])"
1990,java.util.Scanner$1,"array([ 3.43075704, -2.8869562 ])"
1991,java.util.ServiceConfigurationError,"array([ 5.35771994, -3.84098184])"
1992,java.util.ServiceLoader,"array([ 4.23116977, -3.00111485])"
1993,java.util.ServiceLoader$1,"array([ 4.60378  , -1.3912205])"
1994,java.util.ServiceLoader$LazyIterator,"array([ 5.40694926, -1.2818957 ])"
1995,java.util.SimpleTimeZone,"array([ 4.96958304, -2.51042872])"
1996,java.util.Stack,"array([ 4.98070776, -2.07755437])"
1997,java.util.StringTokenizer,"array([ 4.90081942, -2.42422152])"
1998,java.util.SubList$1,"array([ 4.91714359, -1.59909258])"
1999,java.util.TaskQueue,"array([ 7.01060269, -3.72797203])"
2000,java.util.TimeZone$1,"array([ 3.77621467, -1.80651921])"
2001,java.util.TimeZone$DisplayNames,"array([ 5.89658294, -0.65003251])"
2002,java.util.Timer,"array([ 4.35893548, -1.84454973])"
2003,java.util.TimerTask,"array([ 4.12794359, -1.25537143])"
2004,java.util.Timer$1,"array([ 6.25275051, -0.6415471 ])"
2005,java.util.TimerThread,"array([ 4.66324809, -3.56015684])"
2006,java.util.TooManyListenersException,"array([ 6.02552967, -3.96666308])"
2007,java.util.TreeMap,"array([ 4.84037943, -2.24192161])"
2008,java.util.TreeMap$AscendingSubMap,"array([ 4.93813372, -2.18893153])"
2009,java.util.TreeMap$NavigableSubMap,"array([ 4.7990309 , -2.26644068])"
2010,java.util.TreeMap$AscendingSubMap$AscendingEntrySetView,"array([ 4.63939744, -1.70966222])"
2011,java.util.TreeMap$NavigableSubMap$EntrySetView,"array([ 4.12524548, -2.08070895])"
2012,java.util.TreeMap$DescendingKeyIterator,"array([ 5.94921102, -0.7754585 ])"
2013,java.util.TreeMap$PrivateEntryIterator,"array([ 5.61911812, -1.08654102])"
2014,java.util.TreeMap$DescendingSubMap,"array([ 4.99998123, -2.11740867])"
2015,java.util.TreeMap$DescendingSubMap$DescendingEntrySetView,"array([ 4.16548304, -1.82557252])"
2016,java.util.TreeMap$Entry,"array([ 4.88495354, -2.5433849 ])"
2017,java.util.TreeMap$EntryIterator,"array([ 5.05070618, -0.66314637])"
2018,java.util.TreeMap$EntrySet,"array([ 4.24920418, -1.93545282])"
2019,java.util.TreeMap$KeyIterator,"array([ 6.07935606, -0.56613687])"
2020,java.util.TreeMap$KeySet,"array([ 4.73588951, -2.20343086])"
2021,java.util.TreeMap$NavigableSubMap$DescendingSubMapEntryIterator,"array([ 3.63615083, -1.56240297])"
2022,java.util.TreeMap$NavigableSubMap$SubMapIterator,"array([ 4.37171476, -1.33089697])"
2023,java.util.TreeMap$NavigableSubMap$DescendingSubMapKeyIterator,"array([ 4.08729384, -0.89743643])"
2024,java.util.TreeMap$NavigableSubMap$SubMapEntryIterator,"array([ 3.5554898 , -1.65228737])"
2025,java.util.TreeMap$NavigableSubMap$SubMapKeyIterator,"array([ 5.20682805, -0.66427908])"
2026,java.util.TreeMap$SubMap,"array([ 4.71513827, -2.3514581 ])"
2027,java.util.TreeMap$ValueIterator,"array([ 5.85444786, -0.59172019])"
2028,java.util.TreeMap$Values,"array([ 4.43456572, -1.76967502])"
2029,java.util.TreeSet,"array([ 4.93201988, -1.99257277])"
2030,java.util.UUID,"array([ 4.24872427, -2.03239651])"
2031,java.util.UnknownFormatConversionException,"array([ 5.89871714, -3.55246361])"
2032,java.util.UnknownFormatFlagsException,"array([ 5.69193192, -3.65789585])"
2033,java.util.Vector$1,"array([ 4.17864407, -1.57979358])"
2034,java.util.WeakHashMap$1,"array([ 5.74410621, -0.72055255])"
2035,java.util.WeakHashMap$Entry,"array([ 5.07278659, -1.57939113])"
2036,java.util.WeakHashMap$EntryIterator,"array([ 3.31447893, -1.95848338])"
2037,java.util.WeakHashMap$HashIterator,"array([ 3.60126761, -2.21683829])"
2038,java.util.WeakHashMap$EntrySet,"array([ 4.51161453, -1.62933031])"
2039,java.util.WeakHashMap$KeyIterator,"array([ 3.15033396, -2.3668694 ])"
2040,java.util.WeakHashMap$KeySet,"array([ 4.25481487, -1.71964552])"
2041,java.util.WeakHashMap$ValueIterator,"array([ 3.19252899, -2.63475002])"
2042,java.util.WeakHashMap$Values,"array([ 4.14820873, -2.42112069])"
2043,java.util.XMLUtils,"array([ 3.66349564, -0.78261039])"
2044,java.util.XMLUtils$1,"array([ 5.38036574, -4.55320269])"
2045,java.util.XMLUtils$EH,"array([ 3.25326543, -3.37599485])"
2046,java.util.XMLUtils$Resolver,"array([ 6.56965752, -3.10637511])"
2047,java.util.concurrent.AbstractExecutorService,"array([ 4.18489306, -2.1603686 ])"
2048,java.util.concurrent.ExecutorService,"array([ 3.84539248, -2.11657973])"
2049,java.util.concurrent.Future,"array([ 3.44551899, -1.80233162])"
2050,java.util.concurrent.Callable,"array([ 3.15547783, -1.8133459 ])"
2051,java.util.concurrent.TimeUnit,"array([ 4.19369786, -1.95019461])"
2052,java.util.concurrent.ArrayBlockingQueue,"array([ 4.49786254, -2.09495153])"
2053,java.util.concurrent.BlockingQueue,"array([ 4.47769458, -1.94225061])"
2054,java.util.concurrent.ArrayBlockingQueue$Itr,"array([ 5.77081275, -1.5322227 ])"
2055,java.util.concurrent.BlockingDeque,"array([ 4.77952676, -2.05640436])"
2056,java.util.concurrent.BrokenBarrierException,"array([ 6.2071844 , -3.63318758])"
2057,java.util.concurrent.CancellationException,"array([ 5.97165169, -3.92227007])"
2058,java.util.concurrent.CompletionService,"array([ 2.86952089, -1.35736379])"
2059,java.util.concurrent.ConcurrentHashMap,"array([ 4.85970075, -2.15469189])"
2060,java.util.concurrent.ConcurrentMap,"array([ 4.75260573, -2.25653192])"
2061,java.util.concurrent.ConcurrentHashMap$EntryIterator,"array([ 3.39401945, -2.28990165])"
2062,java.util.concurrent.ConcurrentHashMap$HashIterator,"array([ 3.51999546, -1.73352897])"
2063,java.util.concurrent.ConcurrentHashMap$EntrySet,"array([ 4.15635809, -2.31662394])"
2064,java.util.concurrent.ConcurrentHashMap$HashEntry,"array([ 3.03229509, -2.30185587])"
2065,java.util.concurrent.ConcurrentHashMap$KeyIterator,"array([ 4.39632376, -1.53078335])"
2066,java.util.concurrent.ConcurrentHashMap$KeySet,"array([ 4.33229041, -1.79162555])"
2067,java.util.concurrent.ConcurrentHashMap$Segment,"array([ 3.45850733, -1.75011609])"
2068,java.util.concurrent.locks.ReentrantLock,"array([ 3.56004492, -1.71087942])"
2069,java.util.concurrent.locks.Condition,"array([ 2.78381254, -1.51656766])"
2070,java.util.concurrent.ConcurrentHashMap$ValueIterator,"array([ 4.43769356, -1.49746189])"
2071,java.util.concurrent.ConcurrentHashMap$Values,"array([ 4.08805791, -2.1256963 ])"
2072,java.util.concurrent.ConcurrentHashMap$WriteThroughEntry,"array([ 4.33368345, -1.73694607])"
2073,java.util.concurrent.ConcurrentLinkedQueue,"array([ 4.62457012, -1.86593648])"
2074,java.util.concurrent.ConcurrentLinkedQueue$Itr,"array([ 4.26631742, -1.51979857])"
2075,java.util.concurrent.ConcurrentLinkedQueue$Node,"array([ 3.4999073, -1.0235457])"
2076,java.util.concurrent.ConcurrentNavigableMap,"array([ 4.99684812, -2.17578583])"
